LastChange,Title,Developer,Reviews,Price,Discount,ProtonDB,Status,Publisher
"Jun 07, 2025",Tokyo College Girls,Faculty,46%,$10.99,,,Playable,N/A
"Jun 07, 2025",Year 500,The Breakers Entertainment,86%,Free,,,Unsupported,N/A
"Jun 07, 2025",Furry Sex - GameDev Story 🎮,Octo Games,72%,$6.99,,,Verified,N/A
"Jun 07, 2025",DinoTribe:New Era,T Marton,85%,,,,Playable,N/A
"Jun 07, 2025",STRONG FORTRESS:Prologue,北村群童工作室,92%,,,,Unsupported,N/A
"Jun 07, 2025",Something To Write About: Unbroken,SeanchaiStudios,91%,$13.99,,,Playable,N/A
"Jun 07, 2025",Little Sim World,".GRAVITY, .Gravity, BGS Studios, Blue Gravity Studios",81%,$24.99,,,Playable,N/A
"Jun 07, 2025",The Time Traveling Toxicologist,Adam Blumenberg,100%,Free,,,Verified,N/A
"Jun 07, 2025",Kitchen Sync: Aloha!,Lemonpepper Games,99%,$19.99,,,Verified,N/A
"Jun 06, 2025",白昼梦・心象病院,"悠乙, 林檎树",89%,Free,,,Playable,N/A
"Jun 06, 2025",Splitgate 2,1047 Games,62%,Free,,,Playable,N/A
"Jun 06, 2025",Rendering Ranger: R²,"Limited Run Games, Rainbow Arts",93%,$9.99,,,Verified,N/A
"Jun 06, 2025",Spray Paint Simulator,North Star Video Games,68%,$14.99,,,Verified,N/A
"Jun 06, 2025",Home Wars,Insane Dreamers,79%,$7.99,-20%,,Playable,N/A
"Jun 06, 2025",iDigging,TWEN,66%,$2.99,,,Verified,N/A
"Jun 06, 2025",Born to Breed,RFH Games,75%,$3.99,,,Verified,N/A
"Jun 06, 2025",I'LL FUCK YOUR GRANDPA!,Senior Heat,78%,$9.99,,,Playable,N/A
"Jun 06, 2025",Flesh and Fury,Warborn Entertainment,70%,$9.99,,,Playable,N/A
"Jun 06, 2025",Hollow Island,Edym Pixels,86%,$3.29,-67%,,Playable,N/A
"Jun 06, 2025","Notice me, Leena-senpai!","GameDevTosh, Silverbook Game Studios, Yanako RPGs",100%,$3.99,-50%,,Verified,N/A
"Jun 06, 2025",planetarian: Snow Globe,VISUAL ARTS/Key,94%,$3.99,,,Verified,N/A
"Jun 06, 2025","OPPAI Succubus Academy Sucky and Busty, Demonic and Lusty!",Milkfactory,91%,$39.99,,,Playable,N/A
"Jun 06, 2025",Cabin Corpse,MetalB,88%,$11.99,,,Playable,N/A
"Jun 05, 2025",Gobs and Gods,"Alexandre Gilotte, Thierry Gilotte",94%,$11.99,,,Playable,N/A
"Jun 05, 2025",Clicker Conquest,Phillip Hubbard,,$4.99,,,Playable,N/A
"Jun 05, 2025",Passion Eye,"Circle 2 Gold Label, Circle 2 Labs",,$19.99,,,Playable,N/A
"Jun 05, 2025",Master of Chess,BRANE,87%,$14.99,,,Playable,N/A
"Jun 05, 2025",BRAZILIAN DRUG DEALER 3: I OPENED A PORTAL TO HELL IN THE FAVELA TRYING TO REVIVE MIT AIA I NEED TO CLOSE IT,Joeveno,98%,$2.99,,,Playable,N/A
"Jun 05, 2025",SAEKO: Giantess Dating Sim,SAFE HAVN STUDIO,88%,$13.49,-10%,,Playable,N/A
"Jun 05, 2025",POPUCOM,Hypergryph,87%,$17.99,-10%,,Playable,N/A
"Jun 05, 2025",Barro 2024,SC Jogos,75%,$4.99,,,Playable,N/A
"Jun 05, 2025",Kabuto Park,"Doot, Zakku",99%,$3.99,-20%,,Playable,N/A
"Jun 05, 2025",Projected Dreams,"Flawberry Studio, FlawberryStudio",99%,$13.49,-10%,,Verified,N/A
"Jun 04, 2025",Gunner-chan!,kido,92%,$9.99,,,Playable,N/A
"Jun 04, 2025",Isles of Silence,Lonely Frontier Studio,90%,$5.99,,,Playable,N/A
"Jun 04, 2025",FATE: Reawakened,"Tableflip, Tableflip Entertainment AB, gamigo US Inc., gamigo US, Inc",71%,$24.99,,,Verified,N/A
"Jun 04, 2025",The Boba Teashop,Mike Ten,97%,$4.99,,,Playable,N/A
"Jun 04, 2025",DELTARUNE,tobyfox,98%,$24.99,,,Verified,N/A
"Jun 04, 2025",City Tales - Medieval Era,Irregular Shapes,92%,$19.99,,,Playable,N/A
"Jun 04, 2025",Airborne,"XDev, bl4ck, bl4ckdev",89%,Free,,,Playable,N/A
"Jun 04, 2025",Plumber Survivors: Prologue,IRON GAMES,96%,Free,,,Playable,N/A
"Jun 04, 2025",Everlasting Flowers,"flowers.studio, sprite",86%,$29.99,,,Playable,N/A
"Jun 04, 2025",Nebel Geisterjäger ~ The First Lamb,BBQ大好き,87%,$15.99,,,Playable,N/A
"Jun 04, 2025",Aviators,Chronospace,75%,Free,,,Playable,N/A
"Jun 04, 2025",Island Clicker,Bizi Games,65%,Free,,,Playable,N/A
"Jun 04, 2025",Sketchy's Contract,Dimensionless Games,85%,$8.99,,,Playable,N/A
"Jun 04, 2025",The Case of the Serialized Killer,Alexis Royce,89%,Free,,,Playable,N/A
"Jun 04, 2025",Atlas Wept,Kbojisoft,92%,$7.99,,,Playable,N/A
"Jun 04, 2025",Big-Breasted Milky Mommies - Sex Puzzles,Natasha Delor,,$4.99,,,Playable,N/A
"Jun 04, 2025",BRUTALISTICK VR,Kubunautilus,97%,$9.99,,,Unsupported,N/A
"Jun 04, 2025",Algo Bot,Fishing Cactus,82%,$2.99,-70%,,Playable,N/A
"Jun 04, 2025",Pneumata,"Black Bucket Studios, Deadbolt Interactive",50%,$34.99,,,Playable,N/A
"Jun 04, 2025",Bootlegger: Moonshine Empire,Choice of Games,84%,$5.99,,,Unsupported,N/A
"Jun 04, 2025",Beff Jezos Simulator,"JoyJutsu Games, tiplay studio",75%,$9.99,,,Playable,N/A
"Jun 04, 2025",Women's School Simulator 2022,mobaroid,78%,Free,,,Playable,N/A
"Jun 04, 2025",Ashes Of Idunn: Tales Of Fimbulwinter,Mad Viking Games,50%,Free,,,Unsupported,N/A
"Jun 04, 2025",Tri City Monsters,Studio Peaches,98%,,,,Playable,N/A
"Jun 04, 2025",GIRLDIVERS,Sweet Cakes Games,81%,$14.99,,,Playable,N/A
"Jun 04, 2025",DarkStorm,The Comic Master,66%,Free,,,Unsupported,N/A
"Jun 04, 2025",Once Ever After,Sierra Lee,88%,$24.99,,,Playable,N/A
"Jun 04, 2025",untitled rougelike arcade game,"Homan Qiu, Non_Fish",100%,Free,,,Playable,N/A
"Jun 04, 2025",Tales of Spark,Ice and Fire Isle Studio,79%,$13.99,,,Playable,N/A
"Jun 04, 2025",Survive Planet Yubglub,BugB Games,88%,Free,,,Playable,N/A
"Jun 04, 2025",My Sexy Neighbor 🔞 Prologue,"Pocket Rocket Studio 🚀, Taboo Tales 💘",77%,,,,Playable,N/A
"Jun 04, 2025",Hot Candy Land,EndlessFun Games,68%,,,,Playable,N/A
"Jun 04, 2025",Sonar Shock,Raphael Bossniak,86%,$7.99,,,Playable,N/A
"Jun 04, 2025",Illusion Box,"Bad Image, Bad Pixel, bad image, 坏图像",96%,$6.99,,,Playable,N/A
"Jun 04, 2025",Rusty Rabbit,NITRO PLUS,74%,$19.99,,,Playable,N/A
"Jun 04, 2025",Guilty Force,DarkExecutor,67%,$9.99,,,Playable,N/A
"Jun 04, 2025",Escape Memoirs: Safe House,0 Deer Soft,91%,$9.99,,,Playable,N/A
"Jun 04, 2025",Real Dive World,TANUKIHOUSE,78%,$19.99,,,Playable,N/A
"Jun 04, 2025",Unsupervised,Choice of Games,66%,$7.99,,,Unsupported,N/A
"Jun 04, 2025",The Elf's Lewd Training,"UZURA STUDIO, Uzura Studio",67%,$6.99,,,Playable,N/A
"Jun 04, 2025",Love Undying: A Kiss Before Dawn,Heart's Choice,94%,$5.99,,,Unsupported,N/A
"Jun 04, 2025",Colony City 27λ,Bunny Eats Tiger,88%,$10.99,,,Playable,N/A
"Jun 04, 2025",NTR'd By Clumsiness,Hangover Cat Purrroduction,75%,$6.99,,,Playable,N/A
"Jun 04, 2025",Carsick Carventure,Carsick Carventure,93%,Free,,,Playable,N/A
"Jun 04, 2025",The Alchemist & His Battle-Scarred Homunculus,Waffle,100%,$17.49,-30%,,Playable,N/A
"Jun 04, 2025",Steel Covenant,金戈兄,57%,Free,,,Playable,N/A
"Jun 04, 2025",Meet Your Oshi,VchiBan,90%,$3.99,,,Playable,N/A
"Jun 04, 2025",Real Anime Situation! DT,Jitaku Studio,86%,$19.99,-20%,,Playable,N/A
"Jun 04, 2025",NTR Office,"Night-Day-Night-Nine, NineDay, 九天九夜",88%,$10.99,,,Playable,N/A
"Jun 04, 2025",Pacific Minesweeper,Andrei Zanoaga,53%,Free,,,Playable,N/A
"Jun 04, 2025",My Stepsis is a Futanari 2,owlyboi,58%,$0.99,,,Unsupported,N/A
"Jun 04, 2025",Stardiver,"Green Planet Games, Underwater Team",51%,$11.99,,,Unsupported,N/A
"Jun 04, 2025",Fairy Biography3 : Obsession,lovelygames,84%,$6.99,,,Playable,N/A
"Jun 04, 2025",Doner Master Simulator: Prologue,Fika Game Studio,23%,Free,,,Unsupported,N/A
"Jun 04, 2025",Deathless,OneTwoPlay,64%,$9.99,,,Playable,N/A
"Jun 04, 2025",Bomber Royale,"R.H. Industries, 燃核工业",81%,Free,,,Unsupported,N/A
"Jun 04, 2025",Temple Crawler,Alexis Pautrot,,Free,,,Playable,N/A
"Jun 04, 2025",Chibi Reboot,D4rkD,,Free,,,Playable,N/A
"Jun 04, 2025",Windward Horizon,Tasharen Entertainment Inc.,83%,$19.99,,,Playable,N/A
"Jun 04, 2025",Neospace: Prologue,"DreamStudios, Realgames",87%,Free,,,Playable,N/A
"Jun 04, 2025",Beastkin ☆ Training ~The Trials of a Beastkin,Circle Meimitei,86%,$18.99,,,Playable,N/A
"Jun 04, 2025",S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,GSC Game World,43%,$19.99,,,Verified,N/A
"Jun 04, 2025",Smash and Bash Monsters: Prologue,DuGringo,,Free,,,Playable,N/A
"Jun 04, 2025",The Void,Ice-Pick Lodge,80%,$9.99,,,Unsupported,N/A
"Jun 04, 2025",Town of Sins,Hooligapps,66%,,,,Playable,N/A
"Jun 04, 2025",Velev,Chaf,55%,,,,Playable,N/A
"Jun 04, 2025",Survivor Girls of Monster Dungeon,Naku Kinoko,95%,$9.99,,,Verified,N/A
"Jun 04, 2025",Fling with a Tiefling,Kristi Jimenez,94%,Free,,,Playable,N/A
"Jun 04, 2025",Sympathia,DoriGhiku,81%,Free,,,Playable,N/A
"Jun 04, 2025",Kamaitachi no Yoru x3,"Spike Chunsoft Co., Ltd.",88%,$20.99,-30%,,Playable,N/A
"Jun 04, 2025",Kaetram,OmniaDev Inc.,76%,Free,,,Playable,N/A
"Jun 04, 2025",おいでませ、こくりさん - Welcome Kokurisan -,"CyberStep, Inc.",,$24.99,,,Verified,N/A
"Jun 04, 2025",Sniper Killer,"Black Eyed Priest, Henry Hoare",86%,$11.99,,,Unsupported,N/A
"Jun 04, 2025",Gym Camp Simulator: Prologue,For Fun Games,90%,Free,,,Playable,N/A
"Jun 04, 2025",LISC,MOODY,86%,$15.99,,,Playable,N/A
"Jun 04, 2025",Block Fortress 2,Foursaken Media,84%,$19.99,,,Playable,N/A
"Jun 04, 2025",Treasure Hunter: Idle RPG,"Random Loot Games, Ugur Yoruk",,$4.99,,,Playable,N/A
"Jun 04, 2025",Nova: Space Armada,STONE3 PTE. LTD.,51%,Free,,,Playable,N/A
"Jun 04, 2025",Otoko Cross: Pretty Boys Klondike Solitaire,Eastasiasoft Limited,92%,$6.99,,,Playable,N/A
"Jun 04, 2025",HEART of CROWN Online,"FLIPFLOPs, Japanime Digital, illuCalab",84%,$19.99,,,Playable,N/A
"Jun 04, 2025",Bankrupt Heroines,"KassKabe, TTeokLeaf",90%,$1.99,,,Playable,N/A
"Jun 04, 2025",Trials of the Thief-Taker,Choice of Games,63%,$4.99,,,Playable,N/A
"Jun 04, 2025",Just Click The Button,Simon Eftestol,92%,$2.99,,,Playable,N/A
"Jun 04, 2025",The Dust of the Violet Crystals,Corvaena Games LLC,93%,Free,,,Unsupported,N/A
"Jun 04, 2025",Rally Mechanic Simulator Light Edition,Play2Chill S.A.,79%,Free,,,Playable,N/A
"Jun 04, 2025","Warhammer 40,000: Speed Freeks",Caged Element Inc.,80%,$19.99,,,Playable,N/A
"Jun 04, 2025",The Quintessential Quintuplets - Five Memories Spent With You,MAGES. Inc.,97%,$17.49,-50%,,Unsupported,N/A
"Jun 04, 2025",Trilogy of the Moon,SKYPLUS,89%,$10.99,,,Verified,N/A
"Jun 04, 2025",Errant Kingdom,Lunaris Games,67%,$13.99,,,Playable,N/A
"Jun 04, 2025",Beach Club Simulator 2024,Catsupp Games,81%,$6.29,-30%,,Playable,N/A
"Jun 04, 2025",SKETCHY MASSAGE,OZ WORKS,88%,$10.99,,,Playable,N/A
"Jun 04, 2025",NejicomiSimulator Vol.4 (a strong-willed lady gets soaked by a thick wild man's dick!),やぶから堂,63%,$24.99,,,Playable,N/A
"Jun 04, 2025",Kraken City,nStarcube,74%,$4.99,,,Playable,N/A
"Jun 03, 2025",Brave Mouse Cartographer Trilogy,Common Opera,,Free,,,Playable,N/A
"Jun 03, 2025",Xmas Surprise,Yume Creations,,$3.99,,,Playable,N/A
"Jun 03, 2025",Pro Cycling Manager 25,Cyanide Studio,66%,$39.99,,,Playable,N/A
"Jun 03, 2025",The Rise of the Golden Idol,Color Gray Games,94%,$19.99,,,Verified,N/A
"Jun 03, 2025",Starlights,Starlights Team,86%,Free,,,Playable,N/A
"Jun 03, 2025",Mariam Game,Salman AlHarbi,78%,Free,,,Playable,N/A
"Jun 03, 2025",Japan Trip,Cozy Asia Games,75%,$9.99,,,Playable,N/A
"Jun 03, 2025",Perfect Shot,FrameStyles,69%,$9.99,,,Playable,N/A
"Jun 03, 2025",Tails Noir: Rebel Rush,"Eggnut, Soup with Friends",98%,$4.94,,,Verified,N/A
"Jun 03, 2025",Sin and Love,XingCaiStudio,73%,$14.99,,,Playable,N/A
"Jun 02, 2025",Slime Heroes,Pancake Games,82%,$29.99,,,Verified,N/A
"Jun 02, 2025",Liquor Store Simulator,Tovarishch Games,91%,$9.99,,,Verified,N/A
"Jun 02, 2025",Stay Out of the House,Puppet Combo,94%,$14.99,,,Verified,N/A
"Jun 02, 2025",Rune Factory: Guardians of Azuma,Marvelous Inc.,86%,$59.99,,,Verified,N/A
"Jun 02, 2025",I was here,Okinawa Sunrise,39%,$0.99,,,Playable,N/A
"Jun 02, 2025",DOUGH: A Crime Strategy RPG,"NeverNorthGames, Not The Best Games",68%,$14.99,,,Playable,N/A
"Jun 02, 2025",Simpler Times,stoneskip.,94%,$9.99,,,Verified,N/A
"Jun 02, 2025",Void Scout,Adversity Games Ltd.,92%,$9.59,-20%,,Playable,N/A
"Jun 02, 2025",Voidsayer,Pavel Auseitasau,80%,$11.99,-20%,,Playable,N/A
"Jun 02, 2025",Wrap House Simulator🌯,"Broken Lyre Entertainment, Wendigo Games",89%,$10.39,-20%,,Playable,N/A
"Jun 02, 2025",The End of Dyeus,Curious Planet,87%,$14.99,,,Verified,N/A
"Jun 02, 2025",Tour de France 2025,Cyanide Studio,72%,$39.99,,,Playable,N/A
"Jun 02, 2025",Knights of Grayfang,Exe Create Inc.,,$14.99,,,Playable,N/A
"Jun 02, 2025",Yokai Landlord: Monster Mystery!,Shadow Glove,89%,$17.99,,,Verified,N/A
"Jun 01, 2025",The Dragonhood,Scrambled Games,75%,$7.99,,,Playable,N/A
"May 31, 2025",Ultimate Zombie Defense 2,Terror Dog Studio,77%,$14.99,,,Verified,N/A
"May 31, 2025",Plot of the Druid,"Adventure4Life Studios, Yakir Israel",95%,$14.99,,,Playable,N/A
"May 31, 2025",ZOMBETES,The Sounding Wave,,$4.99,,,Playable,N/A
"May 31, 2025",DEEP 8,IndependentArt,94%,Free,,,Playable,N/A
"May 31, 2025",Oh So Hero!,Full Frontal Frog,94%,$9.99,,,Playable,N/A
"May 31, 2025",Final Outpost: Definitive Edition,Exabyte Games,82%,$9.99,,,Verified,N/A
"May 31, 2025",Pipistrello and the Cursed Yoyo,Pocket Trap,98%,$19.99,,,Verified,N/A
"May 31, 2025",Jumping Jazz Cats,"Dan WoodWalker, Le Catnip Collective",85%,$8.99,,,Verified,N/A
"May 31, 2025",Gachi Heroes 2: Flexboll,"GachiSoft, Lohsoft",82%,$0.99,,,Playable,N/A
"May 31, 2025",Ascending Inferno,Oppolyon Studios,100%,$14.99,,,Playable,N/A
"May 31, 2025",AI Roguelite,Max Loh,81%,$9.99,,,Playable,N/A
"May 31, 2025",Auto Rogue,定期的な宝物,93%,$6.99,,,Playable,N/A
"May 31, 2025",Surviving the Apocalypse Is More Fun When There’s Sex,JellyFluff Games,84%,$13.99,,,Playable,N/A
"May 31, 2025",The Pony Factory,"David Szymanski, John Szymanski",91%,$3.99,,,Playable,N/A
"May 31, 2025",Towerful Defense: A Rogue TD,Mini Fun Games,75%,$6.99,-30%,,Verified,N/A
"May 31, 2025",Corrupt Them All - Tokyo Meow,Hentai Squid,60%,$4.99,,,Playable,N/A
"May 31, 2025",Revenge of the Savage Planet,Raccoon Logic Studios Inc.,82%,$29.99,,,Verified,N/A
"May 31, 2025",NIMRODS,Fiveamp,85%,$9.99,,,Verified,N/A
"May 31, 2025",Pixel With Your Friends,SkyCat Games,100%,$4.99,,,Playable,N/A
"May 31, 2025",MangaRPG,Chibi Phoenix,56%,Free,,,Unsupported,N/A
"May 31, 2025",Halluci-Sabbat of Koishi,地霊研究院,91%,$7.99,,,Playable,N/A
"May 31, 2025",Super Sus,"GIANT HK, GIANT INTERACTIVE HK LIMITED",68%,Free,,,Playable,N/A
"May 31, 2025",Proverbs,Mark Ffrench,98%,$8.99,,,Unsupported,N/A
"May 31, 2025",Spud!,Charybdis Ltd,65%,$3.99,,,Unsupported,N/A
"May 31, 2025",Haruka Ao no Hanayome ni,Lump of Sugar,97%,$29.99,,,Verified,N/A
"May 31, 2025",Rogue Monster Rush,Ghost Vibes LLC,96%,$7.99,,,Playable,N/A
"May 31, 2025",MotoGP™24,Milestone S.r.l.,84%,$49.99,,,Playable,N/A
"May 31, 2025",Monster Evo,Monster Game,42%,Free,,,Unsupported,N/A
"May 31, 2025",CompactO - Idle Game,"Considera Games LLC, CryptoGrounds Games LLC",71%,$2.99,,,Playable,N/A
"May 31, 2025",YUME 5,Lovely Games,80%,$11.99,,,Playable,N/A
"May 31, 2025",Mayhem Brawler,Hero Concept,89%,$4.99,-75%,,Verified,N/A
"May 31, 2025",BioGun: Clinical Trial,"Dapper Dog Digital, DapperDogDigital",85%,,,,Playable,N/A
"May 31, 2025",Riviera: The Promised Land,Sting,97%,$34.99,,,Playable,N/A
"May 31, 2025",Hypnosis Card 2 Happy Life,Naku Kinoko,93%,$12.99,,,Playable,N/A
"May 31, 2025",Sky Conquest,"Nathixy, NathixyDEV",61%,Free,,,Unsupported,N/A
"May 31, 2025",Crack it Up! - Prologue,Somnambulist Games,87%,Free,,,Playable,N/A
"May 31, 2025",Superstar Hero,"DJ Omnimaga Music, Dream of Omnimaga, Dream of Omnimaga Music",62%,Free,,,Playable,N/A
"May 31, 2025",Greed 3: Old Enemies Returning,Urchin Games,80%,$4.49,-55%,,Playable,N/A
"May 31, 2025",Lovelust: Project Stockholm,Huli,100%,$9.99,,,Playable,N/A
"May 31, 2025",Holy Whore Emily,"Asami, BananaKing, 台灣香蕉王",81%,$11.99,,,Playable,N/A
"May 31, 2025",S.T.A.L.K.E.R.: Shadow of Chornobyl - Enhanced Edition,GSC Game World,45%,$19.99,,,Verified,N/A
"May 31, 2025",Monster Jam™ Showdown,Milestone S.r.l.,81%,$49.99,,,Unsupported,N/A
"May 31, 2025",Lady Knight Quest,ShiroKuroSoft,93%,$12.99,,,Playable,N/A
"May 31, 2025",再见断刀,非侠游戏,94%,$9.99,,,Playable,N/A
"May 31, 2025",The Maid,"99 Grados Games, Carlos Agüera Fernández, Daniel Agüera Fernández",86%,$5.99,,,Unsupported,N/A
"May 31, 2025",Crypt's Rend,ちまラボ,85%,$11.99,,,Playable,N/A
"May 31, 2025",Sexuality with girlfriends : Laler&Reese,Lovely Games,87%,$10.99,,,Playable,N/A
"May 31, 2025",Etaine: Magic Survivor,TEMagicGames,89%,$3.49,,,Playable,N/A
"May 31, 2025",Matrix Hearts: Season 1,Blue Otter Games,79%,$9.99,,,Playable,N/A
"May 31, 2025",Unveiling the Unknown,TwistedScarlett60,90%,$17.99,,,Playable,N/A
"May 31, 2025",Money And Lady,"Happy DLC, Happy DLC Studio",43%,$9.99,,,Playable,N/A
"May 31, 2025",The Mightiest Sword is Mine!,mihibiki,,$2.99,,,Playable,N/A
"May 31, 2025",Knight and the three servants,サークルRVA,82%,$17.99,,,Verified,N/A
"May 31, 2025",Enatus Radi,Crazy Nirin,93%,$16.99,,,Playable,N/A
"May 31, 2025",Okashi Towers,Blekoh,96%,Free,,,Playable,N/A
"May 31, 2025",Lonely Catgirl is the Purrfect Pussy,Norn,78%,$9.99,,,Unsupported,N/A
"May 31, 2025",Let It Flow,DevAddict's Chat,81%,Free,,,Playable,N/A
"May 31, 2025",Sunshine Love Chapter 1,MrDots Games,89%,$6.99,,,Playable,N/A
"May 31, 2025",Ultimate Pirates,Moonmana,57%,Free,,,Playable,N/A
"May 31, 2025",Pan Beats,pan,66%,Free,,,Playable,N/A
"May 31, 2025",Starlight Drifter,"Dharker Studio, Dharker Studios",67%,$19.99,,,Playable,N/A
"May 31, 2025",Natsu-Mon: 20th Century Summer Kid,"Millennium Kitchen Co., Ltd., TOYBOX Inc.",99%,$27.59,-31%,,Verified,N/A
"May 31, 2025",Brazed,Vladimir Maslov,50%,$4.99,,,Verified,N/A
"May 31, 2025",Block Tower TD 2: Prologue,"MyDreamForever, Tazdraperm",96%,Free,,,Playable,N/A
"May 31, 2025",Stick Ninja,Ryan Bissonnette,,Free,,,Unsupported,N/A
"May 31, 2025",Void Sails,Ticking Clock Games,73%,$18.50,,,Unsupported,N/A
"May 31, 2025",Villain's Legacy,Mad scientist lab,81%,$9.99,,,Unsupported,N/A
"May 31, 2025",Fresh Story 2,WetMelonPlay,85%,$10.78,-17%,,Playable,N/A
"May 31, 2025",Trizon,Ling,93%,$8.99,,,Playable,N/A
"May 31, 2025",Hand In Hand,MaxMedia,96%,$11.99,,,Verified,N/A
"May 31, 2025",Kathy Rain 2: Soothsayer,Clifftop Games,97%,$19.99,,,Playable,N/A
"May 31, 2025",Monster Girl Club Bifrost,Midnight Pleasure,93%,$19.99,,,Unsupported,N/A
"May 31, 2025",Never 7 - The End of Infinity,MAGES. Inc.,84%,$19.99,,,Playable,N/A
"May 31, 2025",Lovecraft Locker: Tentacle Hell,Strange Girl Studios,71%,$5.99,,,Playable,N/A
"May 31, 2025",SHADOW,裏束,,Free,,,Playable,N/A
"May 31, 2025",Back to the Fooker: Zombie Fooker 2,Feral Termite,,$7.99,,,Playable,N/A
"May 31, 2025",Dark Fantasy Godhood,"I.T.K, RPMeister, SHRUB",69%,$6.59,-40%,,Playable,N/A
"May 31, 2025",Detective Dotson,Masala Games Private Limited,97%,$14.99,,,Playable,N/A
"May 31, 2025","Welcome to a Sexy, Open World!",MOONSTONE,97%,$35.99,-20%,,Unsupported,N/A
"May 31, 2025",TouhouGensoumarokuW - The Devil of Decline,ハチクマソフト,94%,$29.99,,,Playable,N/A
"May 31, 2025",Small Town Terrors: Galdor's Bluff Collector's Edition,Gunnar Games,,$7.99,,,Playable,N/A
"May 31, 2025",Commandos: Origins,Claymore Game Studios,75%,$44.99,-10%,,Playable,N/A
"May 31, 2025",TIMEGAL HD Remaster,TAITO CORP.,88%,$24.99,,,Playable,N/A
"May 30, 2025",Cook Serve Forever,Vertigo Gaming Inc.,63%,$29.99,,,Verified,N/A
"May 30, 2025",Project Skyward,Skyward Foundry,78%,$19.99,,,Playable,N/A
"May 30, 2025",Without a Dawn,Jesse Makkonen,96%,$7.99,,,Verified,N/A
"May 30, 2025",C.A.R.D.S. RPG: The Misty Battlefield,ACQUIRE Corp.,51%,$39.99,,,Playable,N/A
"May 30, 2025",小邦迪的奇妙冒险,"Band-Aid, Puyuan Ye",92%,Free,,,Playable,N/A
"May 30, 2025",凡人修仙传,修仙传,40%,Free,,,Unsupported,N/A
"May 30, 2025",InfestStation,"Atom Switch, Inc.",65%,$3.99,,,Playable,N/A
"May 30, 2025",Date Banger,"Dijimit, LunarSave",83%,$9.99,,,Playable,N/A
"May 30, 2025",Cyberwar,Cyber Monkey Studios,92%,$10.79,-40%,,Playable,N/A
"May 30, 2025",Flash Doll,Game Star,81%,$8.99,,,Playable,N/A
"May 30, 2025",Hentai Simulator,Slippy Floor,65%,$2.99,,,Playable,N/A
"May 30, 2025",Calrivar Cluster,CalrivarGames,,Free,,,Playable,N/A
"May 30, 2025",FUNKO FUSION,"1010 Games, 1010 Games Ltd, 10:10 Games Ltd",67%,$12.24,-65%,,Playable,N/A
"May 30, 2025",Maid Harem With Futa,DuaWolf,72%,$5.99,,,Playable,N/A
"May 30, 2025",JDM: Japanese Drift Master,Gaming Factory,74%,$34.99,,,Playable,N/A
"May 30, 2025","Keiko-san (47) my co-worker, is a single mother",HotBamboo,70%,$6.99,,,Playable,N/A
"May 30, 2025",Varial,To Go Box Games,50%,Free,,,Playable,N/A
"May 30, 2025",曙光之诗,729白起生贺组,90%,,,,Playable,N/A
"May 30, 2025",江梦潮音 J.M.Rhythm,J.M.ARCADY,68%,Free,,,Unsupported,N/A
"May 30, 2025",Tostchu,Ravenscape Collective,82%,$12.99,,,Playable,N/A
"May 30, 2025",Spaceport Trading Company,"Digital Tectonics, LLC",85%,$14.99,,,Playable,N/A
"May 30, 2025",Noblesse Oblige,Choice of Games,83%,$4.99,,,Unsupported,N/A
"May 30, 2025",Burokku Girls,Silver Cow Studio,65%,$8.99,,,Unsupported,N/A
"May 30, 2025",ENEMIES,Ian Fitzsimmons,85%,Free,,,Playable,N/A
"May 30, 2025",World of Soccer RELOADED,"Bonança, Dominik, JoneH, domi383",66%,Free,,,Unsupported,N/A
"May 30, 2025",77p egg: Eggwife,77p Studios,90%,$4.99,-50%,,Playable,N/A
"May 30, 2025",Infest,Chute Apps,77%,$14.99,,,Playable,N/A
"May 30, 2025",Ruiga Pirates,Valentware Games LTD,67%,$4.99,,,Verified,N/A
"May 30, 2025",Spellcats: Auto Card Tactics - Prologue,Nintai Studios,100%,,,,Unsupported,N/A
"May 30, 2025",Machine Armor Zero,Midnight Altar Games,69%,$7.11,,,Playable,N/A
"May 30, 2025",風雨来記,"FOG, Nippon Ichi Software, Inc., Systemsoft beta, Inc.",75%,$10.99,,,Verified,N/A
"May 30, 2025",唱舞全明星,XIPU PTE. LTD.,55%,Free,,,Unsupported,N/A
"May 30, 2025",the Sequence [2],[OneManBand],92%,$4.99,,,Playable,N/A
"May 30, 2025",Chiyo,Nimbus Games,75%,$8.99,,,Unsupported,N/A
"May 30, 2025",S.T.A.L.K.E.R.: Call of Prypiat - Enhanced Edition,GSC Game World,41%,$19.99,,,Playable,N/A
"May 30, 2025",成王败寇,大话江湖,46%,,,,Unsupported,N/A
"May 30, 2025",Super Mayor,"Indever Games, Selwyn District Council",96%,Free,,,Verified,N/A
"May 30, 2025",LIP! Lewd Idol Project Vol. 1,Toffer Team,89%,$6.99,,,Unsupported,N/A
"May 30, 2025",Town Defence,Brian Tallent,70%,Free,,,Playable,N/A
"May 30, 2025",Color Hunt - Jigsaw Block Puzzle,Petty Vindictive Games Inc.,76%,Free,,,Unsupported,N/A
"May 30, 2025",文字獄,Jia-Ho Jian,89%,,,,Playable,N/A
"May 30, 2025",不死-Immortal,JW,41%,,,,Verified,N/A
"May 30, 2025",狐の旅路,狐の旅路制作组,95%,Free,,,Playable,N/A
